LocationName,Coronary heart disease among adults,Current asthma among adults,Depression among adults,Diagnosed diabetes among adults,Fair or poor self-rated health status among adults,Frequent mental distress among adults,High blood pressure among adults,No leisure-time physical activity among adults,Obesity among adults,Stroke among adults,longitude,latitude,temperature,temp_norm,Current asthma among adults_norm,Coronary heart disease among adults_norm,Diagnosed diabetes among adults_norm,Obesity among adults_norm,High blood pressure among adults_norm,Frequent mental distress among adults_norm,No leisure-time physical activity among adults_norm,heat_health_risk
4013060902,7.5,10.6,18.7,17.3,36.1,18.4,34.9,38.1,39.3,4.4,-112.3261717,33.612051,109.7,0.0,0.3454545454545455,0.44696969696969696,0.8905109489051095,1.0,0.4571428571428571,0.7025316455696201,1.0,0.6053262117552287
4013050603,7.3,10.9,20.3,13.4,24.5,17.1,34.7,26.0,34.1,3.9,-113.0618727,33.3162347,111.6,1.0,0.4000000000000002,0.4318181818181817,0.6058394160583942,0.6729559748427675,0.451948051948052,0.620253164556962,0.5291828793774318,0.5889997085752237
4013050702,5.6,10.5,19.6,12.0,23.6,17.4,30.3,26.0,34.7,3.2,-112.582303,33.3707199,111.6,1.0,0.3272727272727274,0.303030303030303,0.5036496350364963,0.7106918238993714,0.33766233766233766,0.6392405063291138,0.5291828793774318,0.5438412765759726
4013060801,7.7,10.4,18.4,15.7,29.1,16.6,35.6,31.7,36.4,4.3,-112.3316377,33.6318859,109.7,0.0,0.3090909090909093,0.46212121212121204,0.7737226277372262,0.8176100628930818,0.4753246753246753,0.5886075949367089,0.7509727626459142,0.522181230593716
4013061046,5.4,10.8,20.0,12.0,24.3,18.1,30.6,26.6,34.9,3.3,-112.3500769,33.5295927,110.8,0.5789473684210522,0.38181818181818206,0.2878787878787879,0.5036496350364963,0.7232704402515724,0.34545454545454546,0.6835443037974683,0.5525291828793775,0.5071365556921853
4013050604,6.2,10.2,18.8,11.8,21.0,15.6,31.8,23.3,32.2,3.3,-112.7756801,33.3568036,111.6,1.0,0.2727272727272727,0.34848484848484845,0.48905109489051096,0.5534591194968557,0.37662337662337664,0.5253164556962026,0.42412451361867703,0.49872333519221795
4013061017,1.6,14.2,28.4,5.1,17.4,23.1,17.3,20.9,32.9,1.4,-112.4375771,33.471398,111.6,1.0,1.0,0.0,0.0,0.5974842767295598,0.0,1.0,0.3307392996108948,0.4910279470425568
4013040524,14.7,9.5,14.9,18.8,20.9,8.7,55.8,23.5,27.6,6.7,-112.4169856,33.6759453,109.7,0.0,0.1454545454545456,0.9924242424242423,1.0,0.26415094339622663,1.0,0.08860759493670882,0.4319066147859922,0.4903179926247144
4013050701,4.8,10.4,19.3,10.5,20.7,17.1,28.2,23.6,33.4,2.8,-112.5817883,33.3850893,111.5,0.9473684210526343,0.3090909090909093,0.24242424242424238,0.39416058394160586,0.628930817610063,0.2831168831168831,0.620253164556962,0.4357976653696498,0.4826428358953687
4013061042,9.7,10.6,18.9,15.0,23.6,14.7,40.7,25.8,32.5,4.9,-112.3173497,33.5875997,109.7,0.0,0.3454545454545455,0.6136363636363635,0.7226277372262774,0.5723270440251573,0.6077922077922079,0.4683544303797468,0.5214007782101167,0.48144913834055186
